name|set|set_code|type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|color|generated_mana|number|rarity|ruling|variation|ability|watermark|name_FR
Pendelhaven|Friday Night Magic|FNM|Legendary Land|||||0|Philip Straub|#_The limbs of Pendelhaven extend as far as the meek roam, and reach as high as they strive._#|L|{G}|96|R|£10/4/2004: The current power/toughness being 1/1 is a targeting requirement so it is checked when announcing and again right before resolving.||{T}: Add {G} to your mana pool.£{T}: Target 1/1 creature gets +1/+2 until end of turn.||
Pillar of Flame|Friday Night Magic|FNM|Sorcery||||{R}|1|Dave Kendall|"#_""May the worthy spend an eternity in Blessed Sleep. May the wicked find the peace of oblivion.""_#"|R||150|R|£5/1/2012: A creature dealt damage by <u>Pillar of Flame</u> that dies that turn will be exiled even if it wasn't the target of <u>Pillar of Flame</u> (because the damage was redirected somehow).££5/1/2012: A creature dealt damage by <u>Pillar of Flame</u> that turn will be exiled no matter why the creature would die. It could have its toughness reduced to 0 or less or be destroyed by another spell or ability.||Pillar of Flame deals 2 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.||
Priest of Titania|Friday Night Magic|FNM|Creature — Elf Druid|1|1||{1}{G}|2|Rebecca Guay|#_Titania rewards all who honor the forest by making them a living part of it._#|G|{G}|36|R|£10/4/2004: Since he is an Elf, he counts himself.||{T}: Add {G} to your mana pool for each Elf on the battlefield.||
Prodigal Sorcerer|Friday Night Magic|FNM|Creature — Human Wizard|1|1||{2}{U}|3|Douglas Shuler||U||9|R|||{T}: Prodigal Sorcerer deals 1 damage to target creature or player.||
Qasali Pridemage|Friday Night Magic|FNM|Creature — Cat Wizard|2|2||{W}{G}|2|Dave Allsop|#_An elder in one pride, of the Sigiled caste in another._#|GW||124|R|||Exalted #_(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)_#£{1}, Sacrifice Qasali Pridemage: Destroy target artifact or enchantment.||
Quirion Ranger|Friday Night Magic|FNM|Creature — Elf|1|1||{G}|1|Tom Kyffin|"#_""I went to the woods because I wished to live deliberately."" - Henry David Thoreau, Walden_#"|G||15|R|£10/4/2004: It can target an untapped creature.||Return a Forest you control to its owner's hand: Untap target creature. Activate this ability only once each turn.||
Rakdos Cackler|Friday Night Magic|FNM|Creature — Devil|1|1||{BR}|1|Daven Kendall|#_Devil-blades and dripping blood make music Rakdos never tires of hearing._#|RB||158|R|£4/15/2013: You make the choice to have the creature with unleash enter the battlefield with a +1/+1 counter or not as it's entering the battlefield. At that point, it's too late for a player to respond to the creature spell by trying to counter it, for example.££4/15/2013: The unleash ability applies no matter where the creature is entering the battlefield from.££4/15/2013: A creature with unleash can't block if it has any +1/+1 counter on it, not just one put on it by the unleash ability.££4/15/2013: Putting a +1/+1 counter on a creature with unleash that's already blocking won't remove it from combat. It will continue to block.||Unleash #_(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)_#||
Rancor|Friday Night Magic|FNM|Enchantment — Aura||||{G}|1|Kev Walker|#_Hatred outlives the hateful._#|G||56|R|£7/1/2012: If the target of <u>Rancor</u> when it's cast as a spell is an illegal target when <u>Rancor</u> tries to resolve, <u>Rancor</u> will be countered and put into its owner's graveyard. It won't return to its owner's hand.||Enchant creature£Enchanted creature gets +2/+0 and has trample.£When Rancor is put into a graveyard from the battlefield, return Rancor to its owner's hand.||
Reanimate|Friday Night Magic|FNM|Sorcery||||{B}|1|Robert Bliss|"#_""You will learn to earn death.""—Volrath_#"|B||53|R|£12/1/2004: You lose life equal to the converted mana cost of the card you're bringing back, so if you <u>Reanimate</u> Volrath's Shapeshifter, you lose three life, regardless of what the next card down is.||Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its converted mana cost.||
Reliquary Tower|Friday Night Magic|FNM|Land|||||0|Drew Baker|#_Once guarded by the Knights of the Reliquary, the tower stands now protected only by its own remoteness, its dusty treasures open to plunder by anyone._#|L|{X}|153|R|£2/1/2009: If multiple effects modify your hand size, apply them in timestamp order. For example, if you put Null Profusion (an enchantment that says your maximum hand size is two) onto the battlefield and then put <u>Reliquary Tower</u> onto the battlefield, you'll have no maximum hand size. However, if those permanents enter the battlefield in the opposite order, your maximum hand size would be two.||You have no maximum hand size.£{T}: Add {1} to your mana pool.||
Remand|Friday Night Magic|FNM|Instant||||{1}{U}|2|Hideaki Takamura|#_Well, at least all of that arm-waving and arcane babbling you did was impressive._#|U||92|R|£10/1/2005: The countered spell goes to its owner's hand from the stack. It never hits the graveyard.££2/1/2007: If you <u>Remand</u> a card with Flashback, the card will still be exiled.||Counter target spell. If that spell is countered this way, put it into its owner's hand instead of into that player's graveyard.£Draw a card.||
Resurrection|Friday Night Magic|FNM|Sorcery||||{2}{W}{W}|4|Michael Komarck|#_“Think of this new life not as a gift from the angels but as a command to fight for their cause once more.” -War blessing of Serra_#|W||97|R|||Return target creature card from your graveyard to the battlefield.||
Rhox War Monk|Friday Night Magic|FNM|Creature — Rhino Monk|3|4||{W}{U}{G}|3|Allen Williams|#_Rhox monks are dedicated to spiritual growth and learning, and most bear the sigils of many students. However, they do not gladly suffer fools or those who disagree with their carefully wrought dogma._#|GWU||133|R|||Lifelink||
Rift Bolt|Friday Night Magic|FNM|Sorcery||||{2}{R}|3|Daniel Ljunggren||R||125|R|£6/7/2013: You can exile a card in your hand using suspend any time you could cast that card. Consider its card type, any effect that affects when you could cast it (such as flash) and any other effects that could stop you from casting it (such as Meddling Mage's effect) to determine if and when you can do this. Whether or not you could actually complete all steps in casting the card is irrelevant. For example, you can exile a card with suspend that has no mana cost or requires a target even if no legal targets are available at that time.££6/7/2013: Exiling a card with suspend isn't casting that card. This action doesn't use the stack and can't be responded to.££6/7/2013: If the spell requires any targets, those targets are chosen when the spell is finally cast, not when it's exiled.££6/7/2013: If the first triggered ability of suspend (the one that removes time counters) is countered, no time counter is removed. The ability will trigger again during the card's owner's next upkeep.££6/7/2013: When the last time counter is removed, the second triggered ability of suspend will trigger. It doesn't matter why the last time counter was removed or what effect removed it.££6/7/2013: If the second triggered ability of suspend (the one that lets you cast the card) is countered, the card can't be cast. It remains exiled with no time counters on it, and it's no longer suspended.££6/7/2013: As the second triggered ability resolves, you must cast the card if able. Timing restrictions based on the card's type are ignored.££6/7/2013: If you can't cast the card, perhaps because there are no legal targets available, it remains exiled with no time counters on it, and it's no longer suspended.££6/7/2013: If the spell has any mandatory additional costs, you must pay those if able. However, if an additional cost includes a mana payment, you are forced to pay that cost only if there's enough mana in your mana pool at the time you cast the spell. You aren't forced to activate any mana abilities, although you may do so if you wish.££6/7/2013: A creature cast using suspend will enter the battlefield with haste. It will have haste until another player gains control of it (or, in some rare cases, gains control of the creature spell itself).||Rift Bolt deals 3 damage to target creature or player.£Suspend 1—{R} #_(Rather than cast this card from your hand, you may pay {R} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)_#||
River Boa|Friday Night Magic|FNM|Creature — Snake|2|1||{1}{G}|2|Steve White|"#_""But no one heard the snake's gentle hiss for peace over the elephant's trumpeting of war."" - Afari, Tales_#"|G||1|R|||Islandwalk£{G}: Regenerate River Boa.||
Roar of the Wurm|Friday Night Magic|FNM|Sorcery||||{6}{G}|7|Kev Walker||G||90|R|||Put a 6/6 green Wurm creature token onto the battlefield.£Flashback {3}{G} #_(You may cast this card from your graveyard for its flashback cost. Then exile it.)_#||
Sakura-Tribe Elder|Friday Night Magic|FNM|Creature — Snake Shaman|1|1||{1}{G}|2|Ted Galaday|#_Slain orochi warriors were buried with a tree sapling so they would become part of the forest after death._#|G||115|R|||Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.||
Savage Lands|Friday Night Magic|FNM|Land|||||0|John Avon|#_Jund is a world as cruel as those who call it home. Their brutal struggles scar the land even as it carves them in its image, a vicious circle spiraling out of control._#|L|{B}{R}{G}|139|R|||Savage Lands enters the battlefield tapped.£{T}: Add {B}, {R}, or {G} to your mana pool.||
